_id	x	y	senses
time/NN/Encow_sample_18579/23	-12.2768	-26.7689	time_1
time/NN/Encow_sample_18463/8	0.0	0.0	time_5
time/NN/Encow_sample_31280/39	-25.0395	-9.3953	time_3
time/NN/Encow_sample_3436/56	22.3671	-5.6542	time_1
time/NNS/Encow_sample_10070/85	14.5011	-15.5092	time_3
time/NN/Encow_sample_18794/23	15.3405	5.9353	time_8
time/NN/Encow_sample_33048/20	-20.3004	-25.6054	time_1
time/NN/Encow_sample_3868/21	12.3777	-0.1908	time_8
time/NN/Encow_sample_27165/48	-19.5204	17.233	time_5
time/NN/Encow_sample_11118/46	4.7563	6.2375	time_8
time/NN/Encow_sample_23892/12	-12.4268	-10.3223	time_8
time/NNS/Encow_sample_16270/12	5.6211	-19.9533	time_3
time/NNS/Encow_sample_752/87	17.8668	-15.7245	time_4
time/NNS/Encow_sample_3103/9	11.0254	-15.4292	time_3
time/NN/Encow_sample_32645/34	-16.2839	10.5491	time_2
time/NN/Encow_sample_32442/5	-11.948	19.519	time_1
time/NN/Encow_sample_31231/59	-21.5108	20.7832	time_1
time/NN/Encow_sample_15/43	4.174	0.0619	time_1
time/NN/Encow_sample_16979/11	-20.2601	24.6112	time_2
time/NNS/Encow_sample_332/15	11.9156	3.3696	time_3
time/NN/Encow_sample_20274/16	-30.0096	-15.5019	time_3
time/NNS/Encow_sample_3199/49	20.343	-14.6525	time_4
time/NN/Encow_sample_21700/10	-21.4038	-24.8599	time_1
time/NNS/Encow_sample_14035/79	2.1563	-16.7434	time_3
time/NN/Encow_sample_10072/50	18.4248	17.7213	time_2
time/NN/Encow_sample_29404/48	-32.3906	-16.3513	time_2
time/NN/Encow_sample_26444/25	12.5218	-32.1233	time_8
time/NN/Encow_sample_15245/51	-18.842	24.9571	time_5
time/NN/Encow_sample_9595/81	26.6096	-23.3877	time_1
time/NN/Encow_sample_22031/33	-19.7517	19.4281	time_2
time/NN/Encow_sample_16049/9	24.483	12.8328	time_2
time/NN/Encow_sample_1153/44	-12.7128	-21.9505	time_1
time/NN/Encow_sample_23954/19	7.2663	20.136	time_2
time/NN/Encow_sample_30946/5	9.6202	12.2195	time_2
time/NNS/Encow_sample_8105/5	16.3304	9.188	time_2
time/NN/Encow_sample_18630/3	-24.9828	-10.0857	time_2
time/NNS/Encow_sample_16274/39	10.509	-14.4635	time_1
time/NN/Encow_sample_20757/4	11.4215	17.5326	time_2
time/NN/Encow_sample_16136/51	-20.5127	-13.862	time_3
time/NNS/Encow_sample_17660/52	11.9828	-14.6933	time_3
time/NN/Encow_sample_19867/3	-17.7643	25.5931	time_8
time/NN/Encow_sample_17126/5	16.393	17.9345	time_2
time/NN/Encow_sample_15/89	-21.653	-24.7151	time_1
time/NN/Encow_sample_6113/75	15.2582	11.8674	time_2
time/NN/Encow_sample_13785/3	15.4422	13.4377	time_2
time/NN/Encow_sample_23781/11	2.9154	13.5197	time_2
time/NN/Encow_sample_4338/65	14.1188	6.5684	time_8
time/NN/Encow_sample_18780/18	6.6275	-7.2507	time_1
time/NN/Encow_sample_30893/95	18.5264	-27.4244	time_8
time/NN/Encow_sample_8714/51	23.4723	5.8566	time_4
time/NN/Encow_sample_28007/35	5.4021	7.9355	time_3
time/NN/Encow_sample_31654/62	-27.7655	-16.1247	time_3
time/NN/Encow_sample_3960/71	3.6503	11.9257	time_8
time/NN/Encow_sample_7730/61	15.5605	30.8076	time_2
time/NN/Encow_sample_25278/8	5.077	8.5771	time_8
time/NN/Encow_sample_23418/52	-4.7272	8.7434	time_8
time/NNS/Encow_sample_73/54	18.4033	-14.4966	time_7
time/NN/Encow_sample_21245/44	-11.4789	10.8493	time_4
time/NN/Encow_sample_24082/19	10.1965	13.6146	time_6
time/NN/Encow_sample_31249/26	-28.4946	-18.1106	time_2
time/NN/Encow_sample_30621/29	11.3973	-28.8507	time_3
time/NNS/Encow_sample_19972/3	5.3592	-19.2593	time_3
time/NN/Encow_sample_3107/59	12.6427	-30.0065	time_8
time/NNS/Encow_sample_21534/80	9.6747	-17.8806	time_3
time/NN/Encow_sample_15620/42	3.2873	-9.8053	time_6
time/NN/Encow_sample_4065/40	-0.2396	-7.5954	time_1
time/NN/Encow_sample_8547/8	-16.2162	-26.8013	time_1
time/NN/Encow_sample_24762/20	16.6663	-5.5277	time_8
time/NN/Encow_sample_13505/9	-16.8569	20.7415	time_2
time/NN/Encow_sample_22428/98	-31.3458	-8.0083	time_1
time/NN/Encow_sample_22143/23	9.7431	1.6285	time_5
time/NN/Encow_sample_23222/25	25.6956	-21.6085	time_1
time/NN/Encow_sample_2971/6	-6.7097	3.0733	time_4
time/NNS/Encow_sample_22627/21	0.5498	-19.5712	time_1
time/NN/Encow_sample_10513/21	10.4177	-1.297	time_8
time/NN/Encow_sample_20185/38	-31.244	-16.122	time_3
time/NN/Encow_sample_16431/13	2.2664	2.9785	time_6
time/NN/Encow_sample_4025/87	-12.9969	9.2949	time_2
time/NN/Encow_sample_16306/37	-0.5245	4.7083	time_8
time/NNS/Encow_sample_31880/65	12.6116	-17.2614	time_3
time/NNS/Encow_sample_16757/41	19.8398	19.3929	time_3
time/NN/Encow_sample_18375/45	-25.7428	-9.3447	time_4
time/NN/Encow_sample_3893/65	16.6316	-7.3545	time_4
time/NN/Encow_sample_3969/19	6.6731	-7.2306	time_8
time/NN/Encow_sample_22970/21	7.632	27.2399	time_1
time/NN/Encow_sample_5651/36	-16.2415	19.6364	time_1
time/NN/Encow_sample_9701/50	-26.0586	-10.5177	time_1
time/NN/Encow_sample_32338/52	17.8178	-27.763	time_8
time/NN/Encow_sample_29542/29	18.3381	19.3826	time_1
time/NN/Encow_sample_4845/47	19.3565	21.2958	time_1
time/NN/Encow_sample_3400/78	-31.27	-19.9138	time_4
time/NN/Encow_sample_4154/30	22.4479	7.9937	time_8
time/NN/Encow_sample_1163/34	17.3143	6.7437	time_4
time/NNS/Encow_sample_12984/27	-0.3798	-15.2085	time_1
time/NN/Encow_sample_14495/40	-19.6764	11.7142	time_4
